リコール届出番号,不具合の部位(部品名),原因,改善措置の内容
4553,動力伝達装置(ドライブシャフト),ドライブシャフトのダストブーツにおいて、製造工程における温度管理が不適切なため、接合部の強度が不足しているものがある。そのため、亀裂が発生し、ダストブーツ内のグリスが漏れ、最悪の場合、走行できなくなるおそれがある。,全車両、当該ダストブーツの製造ロット番号を確認し、対象となるロット番号のものは良品に交換する。また、当該ダストブーツに損傷があるものはドライブシャフトアッシを新品に交換する。
4548,制動装置（エキスパンダー）,エアサスペンションを装着した大型トラック・バスにおいて、リヤブレーキシューを固定しているスプリングの設定が不適切なため、走行時の振動入力によって当該シューが振動してクリップ（シュークリアランスを調整するアジャスターを保持している部品）を叩き、クリップが変形又は破損することがある。そのため、そのままの状態で使用を続けると、シュークリアランスが増大し、最悪の場合、リヤブレーキの制動力が低下するおそれがある。,全車両、リヤブレーキシューを固定しているスプリングを対策品に、車両下側のクリップを新品に交換する。なお、上側クリップについては、変形・破損が認められた場合は新品に交換する。
4525,電気装置（フロントドアガラスヒーター配線）,大型バスにおいて、オプション設定されているフロントドアガラスヒーターの配線の固定方法が不適切なため、ドア開閉時にアーム部（上側水平バー）の配線に局部的な曲げが生じるものがある。そのため、そのままの状態で使用を続けると、ドア開閉に伴って当該配線が繰り返し曲げられることで配線が断線し、発煙が生じるおそれがある。,全車両、フロントドアガラスヒーター配線の固定方法を対策仕様に変更する。また、当該配線を点検し、不具合発生部に断線が認められた場合は当該配線を新品に交換する。
4526,原動機（ロッカーアーム）,小型トラック・バスの原動機において、ロッカーアーム製造用治具の管理が不適切なため、ロッカーアームの耐久性が不足しているものがある。そのため、早期にロッカーアームが異常摩耗して破損し、異音が生じて、最悪の場合、走行不能に至るおそれがある。,全車両、ロッカーアームを良品に交換する。また、ロッカーアームに異常摩耗が認められた場合は、シリンダーヘッド一式を交換する。
4517,電気装置(電源分配器),電源分配器の基板において、製造設備の管理が不適切なため、不要な半田が付着した状態で防湿材がコーティングされたものがあり、使用過程においてコーティングに亀裂が発生することがある。そのため、高湿環境下において電極間の微細な導通が発生して電極成分が移動し、短絡回路が形成されると、短絡電流の発熱によって、最悪の場合、車両火災に至るおそれがある。,全車両、当該電源分配器を確認し、対象部番の部品は対策品と交換する。
4487,その他,任命されていない検査員（検査補助者）が合否判定を行う等、完成検査工程における合否判定が不明確であったため、道路運送車両の保安基準に関する検査が適切に行われていなかった可能性がある。,全車両、指定整備工場において点検および自動車検査員による確認を行い、道路運送車両の保安基準に関する不具合が認められた場合は是正する。なお、認証工場において点検（保安基準に関する不具合が認められた場合は是正）を行った場合は、暫定措置とする。
4482,原動機（オイルミストセパレータ）,大型トラック及びバスのエンジンにおいて、エンジンオイルの交換時期の設定が不適切なため、使用条件が厳しい場合、設定期間より早くエンジンオイルが劣化することがある。そのため、そのままの状態で使用を続けると、オイルミストセパレータにスラッジ（燃焼で発生する煤やオイル中の劣化物）が堆積して、目詰まりを起こし、クランクケースの内圧が上昇、エンジンオイルが吸気系に流入して、最悪の場合、意図せずエンジン回転が上昇し、エンジンが破損するおそれがある。,全車両、クランクケースの内圧を測定し、オイルミストセパレータに目詰まりが生じていると判断されるものは、新品のオイルミストセパレータに交換するとともに、エンジンオイルとオイルフィルターを交換する。また、使用条件が厳しい（シビアコンディション）と判断された場合についてもエンジンオイルとオイルフィルターを交換する。さらに、エンジン制御プログラムに対策プログラム（オイル量減少時の検知性向上とエンジン過回転防止）を追加する。また、適切なエンジンオイルメンテナンスの励行を喚起するステッカーを貼付し、シビアコンディションの条件を明記したリーフレットを配布する。
4477,制動装置（空気圧力試験用コネクター）,後２軸駆動の大型トラックの制動装置において、作業指示が不適切なため、制動装置の空気圧力試験用コネクターを誤った位置に組み付けたものがある。そのため、空気圧力試験を行った際に、誤った値を測定するおそれがあり、協定規則第１３号の技術的な要件（制動装置の基準）に適合しない。,全車両、空気圧力試験用コネクターを正規の位置に組付ける。
4476,通路（スロープ板）,バスの中扉出入口に設置してある反転式スロープ板において、取っ手の部品寸法が不適切なため、取っ手を操作した際、取っ手が突出するものがある。そのため、乗客が当該取っ手につまずいて転倒するおそれがある。,全車両、取っ手を良品に交換する。
4457,制動装置（エキスパンダー）,エアサスペンションを装着した大型トラック・バスにおいて、リヤブレーキシューを固定しているスプリングの設定が不適切なため、走行時の振動入力によって当該シューが振動してクリップ（シュークリアランスを調整するアジャスターを保持している部品）を叩き、クリップが変形又は破損することがある。そのため、そのままの状態で使用を続けると、シュークリアランスが増大し、最悪の場合、リヤブレーキの制動力が低下するおそれがある。,全車両、暫定措置として、リヤブレーキシューを固定しているスプリングを対策品に、車両下側のクリップを新品に交換する。なお、上側クリップについては、変形・破損が認められた場合は新品に交換する。なお、対策が決定次第、恒久対策を実施する。
4455,電気装置（フロントドアガラスヒーター配線）,大型バスにおいて、オプション設定されているフロントドアガラスヒーターの配線の固定方法が不適切なため、ドア開閉時にアーム部（上側水平バー）の配線に局部的な曲げが生じるものがある。そのため、そのままの状態で使用を続けると、ドア開閉に伴って当該配線が繰り返し曲げられることで配線が断線し、発煙が生じるおそれがある。,全車両、暫定措置として、フロントドアガラスヒーター配線の固定方法を対策仕様に変更する。また、当該配線を点検し、不具合発生部に断線が認められた場合は当該配線を新品に交換する。なお、対策が決定次第、恒久対策を実施する。
4454,電気装置（フロントドアガラスヒーター回路）,大型バスにおいて、オプション設定されているフロントドアガラスヒーター回路に使用しているヒューズの選定が不適切なため、当該ヒューズの結線部の温度上昇によりヒューズホルダーが溶損することがある。そのため、そのままの状態で使用を続けると、当該ヒューズの結線部が露出して短絡が生じ、最悪の場合、火災に至るおそれがある。,全車両、フロントドアガラスヒーターのヒューズ一式を対策品に交換する。
4445,制動装置（ブレーキフルードタイプラベル）,小型バスにおいて、ブレーキフルードの種類を示すラベルを貼り付ける指示がないため、当該ラベルが貼り付けられていない。,全車両、ブレーキフルードの種類を示したラベルを所定の位置に貼り付ける。
4433,原動機（エアフローセンサー）,エアフローセンサーにおいて、硫化腐食耐性の評価が不十分なため、吸気系ゴムホースから発生した硫黄ガスにより、内部の抵抗が腐食し断線することがある。そのため、EVシステム警告灯が点灯し、フェールセーフにより走行出力が制限され、さらにエンジンが始動しないおそれがある。エンジンが始動しない場合、充電が行われないため、そのまま走行を続けると、バッテリー残量が無くなり、走行不能となるおそれがある。,全車両、エアフローセンサーを対策品と交換する。
4432,制動装置（ブレーキ負圧電動ポンプ）,ブレーキ倍力装置に負圧を発生させるブレーキ負圧電動ポンプにおいて、主軸のベアリングに異品が装着されているため、早期にベアリングが焼き付くおそれがある。そのため、ブレーキ負圧電動ポンプが停止し、ブレーキ警告灯が点灯するとともに警告音が鳴り、そのままの状態で使用するとブレーキペダルの操作力が増大し、制動距離が長くなるおそれがある。,全車両、ブレーキ負圧電動ポンプを正規品と交換する。


